url,downloads,analyses,bioproject,publications,samples_count,samples,geocoordinates,accession,biomes,secondary_accession,centre_name,is_public,public_release_date,study_abstract,study_name,data_origination,last_update
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00003673?format=csv,,,PRJEB15194,,646,,,MGYS00003673,"[OrderedDict([('type', 'biomes'), ('id', 'root:Mixed'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Mixed?format=csv'})])]",ERP016900,UCSDMI,True,,Soil and rhizosphere samples from 4 cultivars of Japanese rice from planting to harvest,Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle,SUBMITTED,2018-12-13T16:27:33
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002055?format=csv,,,PRJEB22546,,1,,,MGYS00002055,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",ERP104227,EMG,True,,The soil metagenome Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJNA271842. This project includes samples from the following biomes : Plant.,EMG produced TPA metagenomics assembly of the Metagenome study of rice samples under various conditions (soil metagenome) data set,SUBMITTED,2017-11-24T16:46:42
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001827?format=csv,,,PRJDB5194,,6,,,MGYS00001827,"[OrderedDict([('type', 'biomes'), ('id', 'root:Engineered:Lab enrichment:Defined media'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Lab%20enrichment:Defined%20media?format=csv'})])]",DRP003292,TOKYO_PHARM,True,,Laboratory-scale single-chamber microbial fuel cells (MFCs) were inoculated with paddy-field soil and supplied with rice bran for electricity generation. Power outputs and microbiome compositions were compared between MFCs containing pure water as the liquid phase (MFC-W) and those containing mineral solution (MFC-M).,Electricity generation from rice bran in microbial fuel cells,HARVESTED,2017-06-20T13:58:20
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001633?format=csv,,,PRJDA67149,,2,,,MGYS00001633,"[OrderedDict([('type', 'biomes'), ('id', 'root:Engineered:Food production:Fermented beverages'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Food%20production:Fermented%20beverages?format=csv'})])]",DRP000451,KYHEUBIO,True,,"Makgeolli is a traditional Korean alcoholic beverage manufactured with a natural starter, called nuruk, and grains. Nuruk is a starchy disk or tablet formed from wheat or grist containing various fungal and bacterial strains from the surrounding environment that are allowed to incorporate naturally into the starter, each of which simultaneously participates in the makgeolli fermentation process. In the current study, changes in microbial dynamics during laboratory-scale fermentation of makgeolli inoculated with six different kinds of nuruk were evaluated by barcoded pyrosequencing using fungal- and bacterial-specific primers targeting the internal transcribed spacer 2 region and hypervariable regions V1 to V3 of the 16S rRNA gene, respectively. A total of 61,571 fungal and 68,513 bacterial sequences were used for the analysis of microbial diversity in ferment samples. During fermentation, the proportion of fungal microorganisms belonging to the family Saccharomycetaceae increased significantly, and the major bacterial phylum of the samples shifted from ?-Proteobacteria to Firmicutes. The results of quantitative PCR indicated that the bacterial content in the final ferments was higher than in commercial rice beers, while total fungi appeared similar. This is the first report of a comparative analysis of microbial dynamics during the fermentation of alcoholic beverage using barcoded pyrosequencing of bacterial and fungal rRNA genes.",microbial community of traditional Korean alcoholic beverages,HARVESTED,2017-03-23T15:26:09
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001442?format=csv,,,PRJEB19090,,15,,,MGYS00001442,"[OrderedDict([('type', 'biomes'), ('id', 'root:Host-associated:Human:Digestive system:Large intestine:Fecal'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Human:Digestive%20system:Large%20intestine:Fecal?format=csv'})])]",ERP021080,PORTO CONTE RICERCHE SRL,True,,"Gut microbiome research is rapidly moving towards the functional characterization of the microbiota by means of shotgun meta-omics. Here, we selected a cohort of healthy subjects from an indigenous and monitored Sardinian population to analyze their gut microbiota using both shotgun metagenomics and shotgun metaproteomics. We found a considerable divergence between genetic potential and functional activity of the human healthy gut microbiota, in spite of a quite comparable taxonomic structure revealed by the two approaches. Investigation of inter-individual variability of taxonomic features revealed Bacteroides and Akkermansia as remarkably conserved and variable in abundance within the population, respectively. Firmicutes-driven butyrogenesis (mainly due to Faecalibacterium spp.) was shown to be the functional activity with the higher expression rate and the lower inter-individual variability in the study cohort, highlighting the key importance of the biosynthesis of this microbial by-product for the gut homeostasis. The taxon-specific contribution to functional activities and metabolic tasks was also examined, giving insights into the peculiar role of several gut microbiota members in carbohydrate metabolism (including polysaccharide degradation, glycan transport, glycolysis and short-chain fatty acid production). In conclusion, our results provide useful indications regarding the main functions actively exerted by the gut microbiota members of a healthy human cohort, and support metaproteomics as a valuable approach to investigate the functional role of the gut microbiota in health and disease.",Potential and active functions in the gut microbiota of a healthy human cohort,SUBMITTED,2017-02-09T09:33:31
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001214?format=csv,,,PRJEB15341,,6,,,MGYS00001214,"[OrderedDict([('type', 'biomes'), ('id', 'root:Host-associated:Mammals:Digestive system'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Mammals:Digestive%20system?format=csv'})])]",ERP017057,PORTO CONTE RICERCHE SRL,True,,Comparison between shotgun metagenomic results obtained from paired mouse caecal contents and faeces,Comparison between mouse caecal contents and faeces,SUBMITTED,2016-09-16T09:17:07
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001030?format=csv,,,PRJNA263765,,1,,,MGYS00001030,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",SRP048888,BioProject,True,,Paddy soil slurries were amended with rice straw and incubated for four weeks at 30?C to mimick the early stage of rice straw breakdown. The anaerobic breakdown of rice straw was studied by metatranscriptomics to gain insights into changes in microbial community structure and gene expression. The focus was on methanogen dynamics and analysing glycosyl hydrolase expression.,Metatranscriptomic analyses of plant polymer breakdown in paddy soil,HARVESTED,2016-06-07T11:27:09
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001016?format=csv,,,PRJNA259820,,1,,,MGYS00001016,"[OrderedDict([('type', 'biomes'), ('id', 'root:Host-associated:Plants:Rhizosphere:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizosphere:Soil?format=csv'})])]",SRP045888,BioProject,True,,A field study was conducted to compare bacterial communities of rhizosheaths of wheat grown under wheat-cotton and wheat-rice rotation and to study the effects of PGPB inoculation.,Soil sample,HARVESTED,2016-06-06T14:05:31
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001014?format=csv,,,PRJNA259434,,45,,,MGYS00001014,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",SRP045799,BioProject,True,,"To explore the divergence of microbial community structure among iron plaque, bulk soil and rihzosphere soil of paddy field",Iron plaque of paddy rice root Targeted Locus (Loci),HARVESTED,2016-06-06T14:04:25
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000971?format=csv,,,PRJNA308897,,24,,,MGYS00000971,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",SRP068522,BioProject,True,,"In this study, we investigated how bacterial communities might change with respect to soil physicochemical development during 2000-year rice cultivation after reclamation from tidal wetlands, using the soil chronosequence in the Yangtze River Delta, China. This knowledge would provide useful suggestions for sustainable development of paddy ecosystem.",a paddy soil chronosequence genome sequencing,HARVESTED,2016-05-17T15:30:40
