url,analyses,biomes,geocoordinates,downloads,samples_count,samples,bioproject,accession,publications,secondary_accession,centre_name,is_public,public_release_date,study_abstract,study_name,data_origination,last_update
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001827?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Engineered:Lab enrichment:Defined media'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Engineered:Lab%20enrichment:Defined%20media?format=csv'})])]",,,6,,PRJDB5194,MGYS00001827,,DRP003292,TOKYO_PHARM,True,,Laboratory-scale single-chamber microbial fuel cells (MFCs) were inoculated with paddy-field soil and supplied with rice bran for electricity generation. Power outputs and microbiome compositions were compared between MFCs containing pure water as the liquid phase (MFC-W) and those containing mineral solution (MFC-M).,Electricity generation from rice bran in microbial fuel cells,HARVESTED,2017-06-20T13:58:20
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001696?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Aquatic:Freshwater:Wetlands'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Aquatic:Freshwater:Wetlands?format=csv'})])]",,,2,,PRJEB20370,MGYS00001696,,ERP022517,RADBOUD UNIVERSITY NIJMEGEN,True,,"Paddy fields are a significant source of methane and contribute up to 20% of total methane emissions from wetland ecosystems. These inundated, anoxic soils featuring abundant nitrogen compounds and methane are an ideal niche for nitrate-dependent anaerobic methanotrophs. After 2 years of enrichment with a continuous supply of methane and nitrate as the sole electron donor and acceptor, a stable enrichment dominated by 'Candidatus Methanoperedens nitroreducens' archaea and 'Candidatus Methylomirabilis oxyfera' NC10 phylum bacteria was achieved. The results of qPCR quantification of 16S rRNA gene copies, analysis of metagenomic 16S rRNA reads,and fluorescence in situ hybridization (FISH) correlated well and showed that, after two years, 'Candidatus Methanoperedens nitroreducens' had the highest (2.2±0.4*108) 16S rRNA copies per mL and constituted approximately 22% of the total microbial community.Metagenomic sequencing by Ion Torrent Technology was carried out after one and two years of enrichment. Phylogenetic analysis showed that the 16S rRNA genes of the dominant microorganisms clustered with previously described 'Candidatus Methanoperedens nitroreducens ANME2D' (96% identity) and 'Candidatus Methylomirabilis oxyfera' (99% identity) strains. The pooled metagenomic sequences resulted in a high-quality draft genome assembly of 'Candidatus Methanoperedens nitroreducens Vercelli' that contained all key functional genes for the reverse methanogenesis pathway and nitrate reduction. The diagnostic mcrA gene was 96% similar to 'Candidatus Methanoperedens nitroreducens ANME2D' (WP_048089615.1) at the protein level.The 'Candidatus Methylomirabilis oxyfera' draft genome contained the marker genes pmoCAB, mdh, and nirS and putative NO dismutase genes. Whole-reactor anaerobic activity measurements with methane and nitrate revealed an average methane oxidation rate of 0.012 mmol h-1 L-1, with cell-specific methane oxidation rates up to 0.57 fmol cell-1 day-1 for 'Candidatus Methanoperedens nitroreducens'. In summary, this study describes the first enrichment and draft genome of methanotrophic archaea from paddy field soil, where these organisms can contribute significantly to the mitigation of methane emissions.",Enrichment of anaerobic nitrate-dependent methanotrophic Candidatus Methanoperedens nitroreducens archaea from an Italian paddy field soil,SUBMITTED,2017-04-18T15:15:08
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001039?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,30,,PRJNA266298,MGYS00001039,,SRP049535,BioProject,True,,Comparing the bacterial community between ancient and modern paddy soil,Ancient paddy soils Targeted Locus (Loci),HARVESTED,2016-06-07T11:38:34
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001030?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,1,,PRJNA263765,MGYS00001030,,SRP048888,BioProject,True,,Paddy soil slurries were amended with rice straw and incubated for four weeks at 30?C to mimick the early stage of rice straw breakdown. The anaerobic breakdown of rice straw was studied by metatranscriptomics to gain insights into changes in microbial community structure and gene expression. The focus was on methanogen dynamics and analysing glycosyl hydrolase expression.,Metatranscriptomic analyses of plant polymer breakdown in paddy soil,HARVESTED,2016-06-07T11:27:09
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001014?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,45,,PRJNA259434,MGYS00001014,,SRP045799,BioProject,True,,"To explore the divergence of microbial community structure among iron plaque, bulk soil and rihzosphere soil of paddy field",Iron plaque of paddy rice root Targeted Locus (Loci),HARVESTED,2016-06-06T14:04:25
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000971?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,24,,PRJNA308897,MGYS00000971,,SRP068522,BioProject,True,,"In this study, we investigated how bacterial communities might change with respect to soil physicochemical development during 2000-year rice cultivation after reclamation from tidal wetlands, using the soil chronosequence in the Yangtze River Delta, China. This knowledge would provide useful suggestions for sustainable development of paddy ecosystem.",a paddy soil chronosequence genome sequencing,HARVESTED,2016-05-17T15:30:40
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000966?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,14,,PRJNA253903,MGYS00000966,,SRP043656,BioProject,True,,"To gain a comprehensive understanding of the impacts of different fertilization regimes on the soil microbial communities, 454 pyrosequencing was used to examine differences in microbial community structures among experimental sites managed for 22 years with different chemical fertilizer treatments.",Genome for paddy soils Genome sequencing,HARVESTED,2016-05-16T16:47:25
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000912?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Agricultural'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Agricultural?format=csv'})])]",,,1,,PRJNA274316,MGYS00000912,,SRP053127,BioProject,True,,Depiction of microbial community structure,Microbial community enriched from paddy soil,HARVESTED,2016-05-13T11:30:36
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000908?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Crop'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Crop?format=csv'})])]",,,1,,PRJNA273696,MGYS00000908,,SRP052852,BioProject,True,,Rice paddy soil Metagenome,Rice paddy soil Metagenome,HARVESTED,2016-05-13T10:50:33
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000878?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Host-associated:Plants:Rhizosphere:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants:Rhizosphere:Soil?format=csv'})])]",,,1,,PRJNA241288,MGYS00000878,,SRP040124,BioProject,True,,Paddy soil Genome sequencing,paddy soil Genome sequencing,HARVESTED,2016-05-10T16:41:53
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000855?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,96,,PRJNA235911,MGYS00000855,,SRP035512,BioProject,True,,Microorganisms involved in the anaerobic oxidation of ammonium coupled to iron(III) reduction,Paddy and uncultivated soil Genome sequencing,HARVESTED,2016-05-05T09:26:55
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000832?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Host-associated:Plants'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Host-associated:Plants?format=csv'})])]",,,37,,PRJNA219151,MGYS00000832,,SRP029929,BioProject,True,,"We aimed at analyzing the composition and structure of the phyllosphere bacterial communities of W. australiana and addressed two major questions: (1) what is the specialty of the bacterial community in the phyllosphere of floating macrophytes; (2) what controls the bacterial communities of the macrophyte phyllosphere in paddy soils.  16S rDNA V3 section of bacteria associated with phyllosphere of Wolffia australiana, water, and soil in paddy-soil ecosystem.",Phyllosphere bacterial community of Wolffia australiana Targeted Locus (Loci),HARVESTED,2016-05-04T11:05:26
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000811?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,36,,PRJNA228984,MGYS00000811,,SRP033091,BioProject,True,,"Microorganisms involved in the iron biogeochemical cycling.  Soil samples were collected from the long-term fertilization experiment site (established in 1990) located in the Taoyuan Agro-ecosystem Research Station (28?55?N, 111?27?E), central Hunan Province of China. The paddy soil in this station was developed from quaternary red clay and classified as a waterloggogenic paddy soil.",Paddy soil Genome sequencing,HARVESTED,2016-05-03T22:10:57
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000787?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,4,,PRJNA212726,MGYS00000787,,SRP028115,BioProject,True,,"Phosphorus fertilization is an important agricultural practice for improving plant nutrition and achieving high crop yield, due to their effects on soil cycling of organic compounds, soil nutrient dynamics. As the underling mechanisms, soil microorganisms play critical roles in regulating the cycling of carbon, nutrient availability and soil fertility since these organisms regulate many fundamental processes. Thus microbial indicators such as microbial diversity and composition are believed to be more dynamic than based on physical and chemical properties, and may have the potential to serve as early indicators of change in the quality of the soil ecosystem. This study determined the effects of phosphorus fertilization on soil bacterial community structures and corresponding changes in soil quality. A plot experiment on P management for paddy field was established in April 2005 at the demonstration park of YuHang County Agricultural Research Station.",Paddy field soil Targeted Locus (Loci),HARVESTED,2016-05-02T12:29:25
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000765?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,15,,PRJNA187359,MGYS00000765,,SRP018527,BioProject,True,,Characterization of bacterial community structure from paddy field bulk soil with alfalfa-rice crop rotation.,Bulk soil Metagenome,HARVESTED,2016-04-22T12:23:01
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000745?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,1,,PRJNA192923,MGYS00000745,,SRP019200,BioProject,True,,Investigation of Methane Emission and Bacterial and Archaeal Communities in Rice Paddy Soil during Rice Cultivation.,Rice paddy soil Targeted Locus (Loci),HARVESTED,2016-04-20T21:03:20
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000705?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,26,,PRJNA169177,MGYS00000705,,SRP013887,BioProject,True,,To investigated the bacterial and archaeal diversity in the rice paddy soils which have been fertilized for 23 years.,Rice paddy soil Targeted Locus (Loci),HARVESTED,2016-04-15T11:31:21
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000650?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil?format=csv'})])]",,,12,,PRJDB3272,MGYS00000650,,DRP002608,TOKYO_PHARM,True,,"The study investigated that single-chamber microbial fuel cells were inoculated with paddy-field soil and continuously supplied with acetate media containing different concentrations of NaCl (0 M, 0.05 M, 0.1 M, 0.3 M, 0.6 M and 1.8 M).",Effects of NaCl concentrations on anode microbes in microbial fuel cells,HARVESTED,2016-04-13T11:55:52
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000637?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Crop:Agricultural land'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Crop:Agricultural%20land?format=csv'})])]",,,1,,PRJNA186388,MGYS00000637,,SRP017909,BioProject,True,,Ammonia oxidizing archaea and bacteria in Chinese paddy soils from three provinces.,Paddy soils Metagenome,HARVESTED,2016-03-16T15:36:11
https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00000636?format=csv,,"[OrderedDict([('type', 'biomes'), ('id', 'root:Environmental:Terrestrial:Soil:Crop:Agricultural land'), ('links', {'self': 'https://www.ebi.ac.uk/metagenomics/api/v1/biomes/root:Environmental:Terrestrial:Soil:Crop:Agricultural%20land?format=csv'})])]",,,1,,PRJNA217689,MGYS00000636,,SRP029423,BioProject,True,,"Impacts of biochar soil amendment (BSA) on soil bacterial community have not been well documented. In this study, we present a cross site field experiment on bacterial community changes of rice paddy in three sites (JX in Jiangxi, HN in Hunan and SC in Sichuan provinces) from South China with wheat straw biochar amended in May 2010. Using quantitative real-time PCR (qPCR) and terminal restriction fragment length polymorphism (T-RFLP) combined with tag-encoded amplicon pyrosequencing, changes in bacterial abundance and diversity under BSA at 0, 20 and 40 t ha-1 (C0, C1 and C2, respectively) were assessed with topsoils sampled at rice harvest.",Effect of biochar on bacterial community in rice paddy soils,HARVESTED,2016-03-16T10:28:48
