Number,ID_Study,ID_Sample,Sample Name,ID_Analyses,Latitude,Longitude,geographic location,environment (biome),depth (m),elevation (masl),pH
1,MGYS00003673,ERS1300960,rhizosphere Nipponbare MS00331,MGYA00261972,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
2,MGYS00003673,ERS1300961,rhizosphere Nipponbare MS00332,MGYA00261973,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
3,MGYS00003673,ERS1300962,rhizosphere Nipponbare MS00333,MGYA00261974,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
4,MGYS00003673,ERS1300963,rhizosphere Nipponbare MS00334,MGYA00261975,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
5,MGYS00003673,ERS1300964,rhizosphere Nipponbare MS00335,MGYA00261976,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
6,MGYS00003673,ERS1300965,rhizosphere Nipponbare MS00336,MGYA00261977,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
7,MGYS00003673,ERS1300966,rhizosphere Nipponbare MS00337,MGYA00261978,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
8,MGYS00003673,ERS1300967,rhizosphere Nipponbare MS00338,MGYA00261979,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
9,MGYS00003673,ERS1300968,rhizosphere Nipponbare MS00339,MGYA00261980,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
10,MGYS00003673,ERS1300969,rhizosphere Nipponbare MS00340,MGYA00261981,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
11,MGYS00003673,ERS1300970,rhizosphere 93-11 MS00341,MGYA00261982,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
12,MGYS00003673,ERS1300971,rhizosphere 93-11 MS00342,MGYA00261983,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
13,MGYS00003673,ERS1300972,rhizosphere 93-11 MS00343,MGYA00261984,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
14,MGYS00003673,ERS1300973,rhizosphere 93-11 MS00344,MGYA00261985,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
15,MGYS00003673,ERS1300974,rhizosphere 93-11 MS00345,MGYA00261986,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
16,MGYS00003673,ERS1300975,rhizosphere 93-11 MS00346,MGYA00261987,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
17,MGYS00003673,ERS1300976,rhizosphere 93-11 MS00347,MGYA00261988,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
18,MGYS00003673,ERS1300977,rhizosphere 93-11 MS00348,MGYA00261989,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
19,MGYS00003673,ERS1300978,rhizosphere 93-11 MS00349,MGYA00261990,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
20,MGYS00003673,ERS1300979,rhizosphere 93-11 MS00350,MGYA00261991,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
21,MGYS00003673,ERS1300980,rhizosphere kasalath MS00351,MGYA00261992,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
22,MGYS00003673,ERS1300981,rhizosphere kasalath MS00352,MGYA00261993,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
23,MGYS00003673,ERS1300982,rhizosphere kasalath MS00353,MGYA00261994,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
24,MGYS00003673,ERS1300983,rhizosphere kasalath MS00354,MGYA00261995,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
25,MGYS00003673,ERS1300984,rhizosphere kasalath MS00355,MGYA00261996,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
26,MGYS00003673,ERS1300985,rhizosphere kasalath MS00356,MGYA00261997,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
27,MGYS00003673,ERS1300986,rhizosphere kasalath MS00357,MGYA00261998,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
28,MGYS00003673,ERS1300987,rhizosphere kasalath MS00358,MGYA00261999,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
29,MGYS00003673,ERS1300988,rhizosphere kasalath MS00359,MGYA00262000,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
30,MGYS00003673,ERS1300989,rhizosphere kasalath MS00360,MGYA00262001,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
31,MGYS00003673,ERS1300990,rhizosphere W106 MS00361,MGYA00262002,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
32,MGYS00003673,ERS1300991,rhizosphere W106 MS00362,MGYA00262003,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
33,MGYS00003673,ERS1300992,rhizosphere W106 MS00363,MGYA00262004,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
34,MGYS00003673,ERS1300993,rhizosphere W106 MS00364,MGYA00262005,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
35,MGYS00003673,ERS1300994,rhizosphere W106 MS00365,MGYA00262006,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
36,MGYS00003673,ERS1300995,rhizosphere W106 MS00366,MGYA00262007,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
37,MGYS00003673,ERS1300996,rhizosphere W106 MS00367,MGYA00262008,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
38,MGYS00003673,ERS1300997,rhizosphere W106 MS00368,MGYA00262009,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
39,MGYS00003673,ERS1300998,rhizosphere W106 MS00369,MGYA00262010,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
40,MGYS00003673,ERS1300999,rhizosphere W106 MS00370,MGYA00262011,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
41,MGYS00003673,ERS1301000,rhizosphere W1514 MS00371,MGYA00262012,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
42,MGYS00003673,ERS1301001,rhizosphere W1514 MS00372,MGYA00262013,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
43,MGYS00003673,ERS1301002,rhizosphere W1514 MS00373,MGYA00262014,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
44,MGYS00003673,ERS1301003,rhizosphere W1514 MS00374,MGYA00262015,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
45,MGYS00003673,ERS1301004,rhizosphere W1514 MS00375,MGYA00262016,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
46,MGYS00003673,ERS1301005,rhizosphere W1514 MS00376,MGYA00262017,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
47,MGYS00003673,ERS1301006,rhizosphere W1514 MS00377,MGYA00262018,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
48,MGYS00003673,ERS1301007,rhizosphere W1514 MS00378,MGYA00262019,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
49,MGYS00003673,ERS1301008,rhizosphere W1514 MS00379,MGYA00262020,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
50,MGYS00003673,ERS1301009,rhizosphere W1514 MS00380,MGYA00262021,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
51,MGYS00003673,ERS1301010,rhizosphere Nipponbare MS00381,MGYA00262022,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
52,MGYS00003673,ERS1301011,rhizosphere Nipponbare MS00382,MGYA00262023,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
53,MGYS00003673,ERS1301012,rhizosphere Nipponbare MS00383,MGYA00262024,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
54,MGYS00003673,ERS1301013,rhizosphere Nipponbare MS00384,MGYA00262025,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
55,MGYS00003673,ERS1301014,rhizosphere Nipponbare MS00385,MGYA00262026,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
56,MGYS00003673,ERS1301015,rhizosphere Nipponbare MS00386,MGYA00262027,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
57,MGYS00003673,ERS1301016,rhizosphere Nipponbare MS00387,MGYA00262028,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
58,MGYS00003673,ERS1301017,rhizosphere Nipponbare MS00388,MGYA00262029,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
59,MGYS00003673,ERS1301018,rhizosphere Nipponbare MS00389,MGYA00262030,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
60,MGYS00003673,ERS1301019,rhizosphere Nipponbare MS00390,MGYA00262031,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
61,MGYS00003673,ERS1301020,rhizosphere Nipponbare MS00391,MGYA00262032,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
62,MGYS00003673,ERS1301021,rhizosphere Nipponbare MS00392,MGYA00262033,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
63,MGYS00003673,ERS1301022,rhizosphere Nipponbare MS00393,MGYA00262034,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
64,MGYS00003673,ERS1301023,rhizosphere Nipponbare MS00394,MGYA00262035,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
65,MGYS00003673,ERS1301024,rhizosphere Nipponbare MS00395,MGYA00262036,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
66,MGYS00003673,ERS1301025,rhizosphere Nipponbare MS00396,MGYA00262037,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
67,MGYS00003673,ERS1301026,rhizosphere Nipponbare MS00397,MGYA00262038,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
68,MGYS00003673,ERS1301027,rhizosphere Nipponbare MS00398,MGYA00262039,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
69,MGYS00003673,ERS1301028,rhizosphere Nipponbare MS00399,MGYA00262040,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
70,MGYS00003673,ERS1301029,rhizosphere Nipponbare MS00400,MGYA00262041,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
71,MGYS00003673,ERS1301030,rhizosphere 93-11 MS00401,MGYA00262042,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
72,MGYS00003673,ERS1301031,rhizosphere 93-11 MS00402,MGYA00262043,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
73,MGYS00003673,ERS1301032,rhizosphere 93-11 MS00403,MGYA00262044,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
74,MGYS00003673,ERS1301033,rhizosphere 93-11 MS00404,MGYA00262045,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
75,MGYS00003673,ERS1301034,rhizosphere 93-11 MS00405,MGYA00262046,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
76,MGYS00003673,ERS1301035,rhizosphere 93-11 MS00406,MGYA00262047,35.117,138.937,GAZ:Japan;Japan,cropland biome,,60,
