,ID_Sample,Sample Name,ID_Analyses,NCBI sample classification,collection date,current land use,elevation,environment (biome),environment (feature),environment (material),extreme_unusual_properties/salinity,extreme_unusual_properties/salinity method,"geographic location (country and/or sea,region)",geographic location (depth),geographic location (longitude),history/crop rotation,history/previous land use,instrument model,mean annual and seasonal precipitation,mean annual and seasonal temperature,pH,pH method,sample collection device or method,sample size,sample weight for DNA extraction,texture,texture method,total N,total N method,total organic C method,total organic carbon
0,SRS647508,DP25,MGYA00046052,410658,"March 15, 2013",Deforested,3700 masl,Perturbed soil,National park,Soil,0.09 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,5.91,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.07%,Kjeldahl method,total organic carbon analyzer (Shimatzu),1.66%
1,SRS647509,DF26,MGYA00046046,410658,"March 15, 2013",Forestal,3700 masl,Forest soil,National park,Soil,0.1 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,6.55,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.10%,Kjeldahl method,total organic carbon analyzer (Shimatzu),2.83%
2,SRS647510,DF27,MGYA00046047,410658,"March 15, 2013",Forestal,3700 masl,Forest soil,National park,Soil,0.2 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,6.37,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.12%,Kjeldahl method,total organic carbon analyzer (Shimatzu),5.85%
3,SRS647511,DF28,MGYA00046041,410658,"March 15, 2013",Forestal,3700 masl,Forest soil,National park,Soil,0.12 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,6.29,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.11%,Kjeldahl method,total organic carbon analyzer (Shimatzu),5.46%
4,SRS647579,DF29,MGYA00046014,410658,"March 15, 2013",Forestal,3700 masl,Forest soil,National park,Soil,0.06 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,6.22,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.09%,Kjeldahl method,total organic carbon analyzer (Shimatzu),2.05%
5,SRS647893,DF30,MGYA00046035,410658,"March 15, 2013",Forestal,3700 masl,Forest soil,National park,Soil,0.33 mS/cm3,Electrolytic conductivity,"Dilatada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.18 N_99.54 W,,Forestal,454 GS FLX,1100 mm,7.5_C,5.75,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.04%,Kjeldahl method,total organic carbon analyzer (Shimatzu),1.37%
6,SRS647894,RM31,MGYA00046019,410658,"March 15, 2013",Agricultural,3700 masl,Agricultural soil,National park,Soil,0.02 mS/cm3,Electrolytic conductivity,"Rosa Morada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.16 N_99.52 W,Maize monoculture,Forestal,454 GS FLX,1100 mm,7.5_C,5.42,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.02%,Kjeldahl method,total organic carbon analyzer (Shimatzu),2.44%
7,SRS647895,RM32,MGYA00046043,410658,"March 15, 2013",Agricultural,3700 masl,Agricultural soil,National park,Soil,0.2 mS/cm3,Electrolytic conductivity,"Rosa Morada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.16 N_99.52 W,Maize monoculture,Forestal,454 GS FLX,1100 mm,7.5_C,5.16,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.02%,Kjeldahl method,total organic carbon analyzer (Shimatzu),2.34%
8,SRS647900,RM33,MGYA00046012,410658,"March 15, 2013",Agricultural,3700 masl,Agricultural soil,National park,Soil,0.52 mS/cm3,Electrolytic conductivity,"Rosa Morada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.16 N_99.52 W,Maize monoculture,Forestal,454 GS FLX,1100 mm,7.5_C,4.63,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.05%,Kjeldahl method,total organic carbon analyzer (Shimatzu),1.66%
9,SRS647914,RM34,MGYA00046009,410658,"March 15, 2013",Agricultural,3700 masl,Agricultural soil,National park,Soil,0.35 mS/cm3,Electrolytic conductivity,"Rosa Morada, Nevado de Toluca, Estado de Mexico, Mexico",10 cm,19.16 N_99.52 W,Maize monoculture,Forestal,454 GS FLX,1100 mm,7.5_C,4.82,Water saturation,soil auger 7-cm diameter (Eijkelkamp),2 kg,0.25 g,sandy loam,hydrometer method,0.07%,Kjeldahl method,total organic carbon analyzer (Shimatzu),2.24%
