,ID_Sample,Sample Name,ID_Analyses,investigation type,geographic location (depth),collection date,environment (biome),environment (feature),environment (material),environmental package,elevation,pH,history/agrochemical additions,history/crop rotation,current land use,extreme_unusual_properties/salinity,pH method,soil type,soil type method,history/tillage,NCBI sample classification,instrument model,sample size
0,SRS583485,MCT-R_I.D._29B,MGYA00043733,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.7,120 kg N/ha urea,Maize monoculture,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
1,SRS583486,WCT-R_I.D._22A,MGYA00043734,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.5,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
2,SRS583487,WCT-R_I.D._22B,MGYA00043731,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.1,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
3,SRS583488,WCT-R_I.D._58A,MGYA00043732,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.6,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
4,SRS583489,WCT-R_I.D._58B,MGYA00043737,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.7,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
5,SRS583490,WCT+R_I.D._41A,MGYA00043738,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.3,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
6,SRS583491,WCT+R_I.D._41B,MGYA00043735,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.35,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
7,SRS583492,WCT+R_I.D._4A,MGYA00043736,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.34,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
8,SRS583493,WCT+R_I.D._4B,MGYA00043726,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.5,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,Conventional tillage,410658,454 GS FLX Titanium,2 kg
9,SRS583495,WZT-R_I.D._60A,MGYA00043740,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.6,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,No tillage,410658,454 GS FLX Titanium,2 kg
10,SRS583497,WZT-R_I.D._60B,MGYA00043742,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.5,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,No tillage,410658,454 GS FLX Titanium,2 kg
11,SRS583498,WZT-R_I.D._17A,MGYA00043741,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.7,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,No tillage,410658,454 GS FLX Titanium,2 kg
12,SRS583499,WZT-R_I.D._17B,MGYA00043729,metagenome,10 cm,27-Jul-11,Agricultural soil,Long-term experimental site,Soil,MIGS/MIMS/MIMARKS.soil,2240 masl,6.65,120 kg N/ha urea,Wheat-maize,Agricultural,0.4 dS/m,Water saturation,fine mixed thermic Cumulic Haplustoll,USDA Soil Taxonomy system,No tillage,410658,454 GS FLX Titanium,2 kg
