,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),geographic location (depth),"geographic location (country and/or sea,region)",collection date,environment (biome),environment (feature),elevation,history/crop rotation,NCBI sample classification,instrument model
0,SRS639742,corn_summit_peak12,MGYA00045926,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Continuous corn,410658,Illumina MiSeq
1,SRS639743,switch_toeslope_late11,MGYA00045932,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),312,Switchgrass monoculture,410658,Illumina MiSeq
2,SRS639744,corn_backslope_peak12,MGYA00045925,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),318,Continuous corn,410658,Illumina MiSeq
3,SRS639745,corn_toeslope_peak12,MGYA00045944,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Continuous corn,410658,Illumina MiSeq
4,SRS639746,switch_summit_peak12,MGYA00045966,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Switchgrass monoculture,410658,Illumina MiSeq
5,SRS639747,switch_backslope_peak12,MGYA00045917,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),318,Switchgrass monoculture,410658,Illumina MiSeq
6,SRS639748,switch_toeslope_peak12,MGYA00045959,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Switchgrass monoculture,410658,Illumina MiSeq
7,SRS639749,cornrhizo_summit_peak12,MGYA00045965,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Continuous corn,410658,Illumina MiSeq
8,SRS639750,cornrhizo_toeslope_peak12,MGYA00045978,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Continuous corn,410658,Illumina MiSeq
9,SRS639751,switchrhizo_summit_peak12,MGYA00045979,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Switchgrass monoculture,410658,Illumina MiSeq
10,SRS639752,switchrhizo_toeslope_peak12,MGYA00045958,"41.916667,-93.75",0-0.15,USA,2012-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Switchgrass monoculture,410658,Illumina MiSeq
11,SRS639725,corn_backslope_spring11,MGYA00045918,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),318,Continuous corn,410658,Illumina MiSeq
12,SRS639726,corn_summit_spring11,MGYA00045933,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),323,Continuous corn,410658,Illumina MiSeq
13,SRS639727,corn_toeslope_spring11,MGYA00045923,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),312,Continuous corn,410658,Illumina MiSeq
14,SRS639728,switch_summit_spring11,MGYA00045963,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),323,Switchgrass monoculture,410658,Illumina MiSeq
15,SRS639729,switch_backslope_spring11,MGYA00045983,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),318,Switchgrass monoculture,410658,Illumina MiSeq
16,SRS639730,switch_toeslope_spring11,MGYA00045984,"41.916667,-93.75",0-0.15,USA,2011-06,cropland (ENVO:01000245),field (ENVO:00000114),312,Switchgrass monoculture,410658,Illumina MiSeq
17,SRS639731,corn_summit_peak11,MGYA00045981,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Continuous corn,410658,Illumina MiSeq
18,SRS639732,corn_backslope_peak11,MGYA00045982,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),318,Continuous corn,410658,Illumina MiSeq
19,SRS639733,corn_toeslope_peak11,MGYA00045986,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Continuous corn,410658,Illumina MiSeq
20,SRS639734,switch_summit_peak11,MGYA00045987,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),323,Switchgrass monoculture,410658,Illumina MiSeq
21,SRS639735,switch_backslope_peak11,MGYA00045931,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),318,Switchgrass monoculture,410658,Illumina MiSeq
22,SRS639736,switch_toeslope_peak11,MGYA00045930,"41.916667,-93.75",0-0.15,USA,2011-07,cropland (ENVO:01000245),field (ENVO:00000114),312,Switchgrass monoculture,410658,Illumina MiSeq
23,SRS639737,corn_summit_late11,MGYA00045929,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),323,Continuous corn,410658,Illumina MiSeq
24,SRS639738,corn_toeslope_late11,MGYA00045935,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),312,Continuous corn,410658,Illumina MiSeq
25,SRS639739,corn_backslope_late11,MGYA00045928,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),318,Continuous corn,410658,Illumina MiSeq
26,SRS639740,switch_summit_late11,MGYA00045934,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),323,Switchgrass monoculture,410658,Illumina MiSeq
27,SRS639741,switch_backslope_late11,MGYA00045919,"41.916667,-93.75",0-0.15,USA,2011-08,cropland (ENVO:01000245),field (ENVO:00000114),318,Switchgrass monoculture,410658,Illumina MiSeq
