,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),"geographic location (country and/or sea,region)",environment (biome),environment (feature),environment (material),environmental package,depth,elevation,geographic location (latitude),instrument model,ENA checklist,last update date
0,ERS1474434,qiita_sid_846:846.Fagna24102011Soil12A1,MGYA00353758,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
1,ERS1474435,qiita_sid_846:846.Fagna24102011Soil12A2,MGYA00353759,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
2,ERS1474436,qiita_sid_846:846.Fagna24102011Soil12A3,MGYA00353760,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
3,ERS1474437,qiita_sid_846:846.Fagna24102011Soil12A4,MGYA00353761,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
4,ERS1474438,qiita_sid_846:846.Fagna24102011Soil12B1,MGYA00353762,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
5,ERS1474439,qiita_sid_846:846.Fagna24102011Soil12B2,MGYA00353763,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
6,ERS1474440,qiita_sid_846:846.Fagna24102011Soil12B3,MGYA00353764,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
7,ERS1474441,qiita_sid_846:846.Fagna24102011Soil12B4,MGYA00353765,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
8,ERS1474442,qiita_sid_846:846.Fagna24102011Soil12C1,MGYA00353766,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
9,ERS1474443,qiita_sid_846:846.Fagna24102011Soil12C2,MGYA00353767,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
