,ID_Sample,Sample Name,ID_Analyses,NCBI sample classification,collection date,elevation,environment (biome),environment (feature),environment (material),environmental package,"geographic location (country and/or sea,region)",geographic location (depth),geographic location (longitude),instrument model,investigation type,microbial biomass method,pH,pH method,pooling of DNA extracts (if done),project name,sample weight for DNA extraction,soil type,water content of soil,water content of soil method
0,SRS416338,MIMARKS Survey related sample from Soil metagenome,MGYA00038979,410658,12-Jun,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.13,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,20.04008016,105 _ 24h
1,SRS416339,MIMARKS Survey related sample from Soil metagenome,MGYA00038980,410658,12-Jun,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,6.86,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,17.50503018,105 _ 24h
2,SRS416340,MIMARKS Survey related sample from Soil metagenome,MGYA00038963,410658,12-Jun,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.11,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,20.48192771,105 _ 24h
3,SRS416341,MIMARKS Survey related sample from Soil metagenome,MGYA00038974,410658,12-Jun,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.07,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,20.08032129,105 _ 24h
4,SRS416342,MIMARKS Survey related sample from Soil metagenome,MGYA00038973,410658,12-Jun,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.17,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,20.44088176,105 _ 24h
5,SRS415085,MIMARKS Survey related sample from Soil metagenome,MGYA00038958,410658,Jun-12,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,"Jintan, Jiangsu, China",0-0.2m,"31.65, 119.46667",454 GS FLX+,miens-survey,chloroform fumigation-extraction,6.92,water/soil =5:1,yes,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,22.26640159,105 ?C 24h
6,SRS416332,MIMARKS Survey related sample from Soil metagenome,MGYA00038970,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.11,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,24.87194748,105 ?C 24h
7,SRS416333,MIMARKS Survey related sample from Soil metagenome,MGYA00038971,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.07,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,26.56182083,105 ?C 24h
8,SRS416334,MIMARKS Survey related sample from Soil metagenome,MGYA00038948,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.09,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,25.41284895,105 ?C 24h
9,SRS416335,MIMARKS Survey related sample from Soil metagenome,MGYA00038959,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.15,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,25.47062176,105 ?C 24h
10,SRS416336,MIMARKS Survey related sample from Soil metagenome,MGYA00038954,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,7.37,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,26.32131056,105 ?C 24h
11,SRS416337,MIMARKS Survey related sample from Soil metagenome,MGYA00038953,410658,12-Oct,3m,ENVO:00000446,ENVO:00000258,ENVO:00005740,MIGS/MIMS/MIMARKS.soil,,0-0.2m,,454 GS FLX+,miens-survey,chloroform fumigation-extraction,6.95,water/soil =5:1,,Analysis of sequences collected from agricultural soils,0.5g,typical Clay loamy Fe-leachic-gleyic-stagnic anthrosol,24.84822434,105 ?C 24h
