,ID_Sample,Sample Name,ID_Analyses,NCBI sample classification,collection date,elevation,environment (biome),environment (feature),environment (material),environmental package,"geographic location (country and/or sea,region)",geographic location (depth),geographic location (longitude),instrument model,investigation type,project name
0,SRS462742,MIMS sample from soil metagenome,MGYA00038065,410658,02-Aug-2012,89 m,Rice paddy soils,rice field,soil,MIGS/MIMS/MIMARKS.soil,South Korea: Suwon,15 cm,"37.27442N, 126.99325W",454 GS FLX Titanium,metagenome,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils
1,SRS462743,MIMS sample from soil metagenome,MGYA00038048,410658,02-Aug-2012,89 m,Rice paddy soils,rice field,soil,MIGS/MIMS/MIMARKS.soil,South Korea: Suwon,15 cm,"37.27442N, 126.99325W",454 GS FLX Titanium,metagenome,Effects of water-saving irrigation on the emissions of greenhouse gases and the prokaryotic communities in rice paddy soils
2,SRS346911,Bacterial sequences obtained from the O plot in April,MGYA00038077,410658,,,,,,,,,,454 GS FLX Titanium,,
3,SRS346912,bacterial sequences obtained from the APK plot in April,MGYA00038076,410658,,,,,,,,,,454 GS FLX Titanium,,
4,SRS346913,bacterial sequences obtained from the CAPK plot in April,MGYA00038079,410658,,,,,,,,,,454 GS FLX Titanium,,
5,SRS346914,bacterial sequences obtained from the LAPK plot in April,MGYA00038078,410658,,,,,,,,,,454 GS FLX Titanium,,
6,SRS346915,bacterial sequences obtained from the WAPK plot in April,MGYA00038081,410658,,,,,,,,,,454 GS FLX Titanium,,
7,SRS346916,bacterial sequences obtained from the CLWAPK plot in April,MGYA00038080,410658,,,,,,,,,,454 GS FLX Titanium,,
8,SRS346917,bacterial sequences obtained from the O plot in August,MGYA00038057,410658,,,,,,,,,,454 GS FLX Titanium,,
9,SRS346918,bacterial sequences obtained from the APK plot in August,MGYA00038058,410658,,,,,,,,,,454 GS FLX Titanium,,
10,SRS346919,bacterial sequences obtained from the CAPK plot in August,MGYA00038059,410658,,,,,,,,,,454 GS FLX Titanium,,
11,SRS346920,bacterial sequences obtained from the LAPK plot in August,MGYA00038060,410658,,,,,,,,,,454 GS FLX Titanium,,
12,SRS346921,bacterial sequences obtained from the WAPK plot in August,MGYA00038053,410658,,,,,,,,,,454 GS FLX Titanium,,
13,SRS346922,bacterial sequences obtained from the CLWAPK plot in August,MGYA00038054,410658,,,,,,,,,,454 GS FLX Titanium,,
14,SRS346923,archaeal sequences obtained from the O plot in April,MGYA00038055,410658,,,,,,,,,,454 GS FLX Titanium,,
15,SRS346924,archaeal sequences obtained from the APK plot in April,MGYA00038056,410658,,,,,,,,,,454 GS FLX Titanium,,
16,SRS346925,archaeal sequences obtained from the CAPK plot in April,MGYA00038051,410658,,,,,,,,,,454 GS FLX Titanium,,
17,SRS346926,archaeal sequences obtained from the LAPK plot in April,MGYA00038052,410658,,,,,,,,,,454 GS FLX Titanium,,
18,SRS346927,archaeal sequences obtained from the WAPK plot in April,MGYA00038071,410658,,,,,,,,,,454 GS FLX Titanium,,
19,SRS346928,archaeal sequences obtained from the CLWAPK plot in April,MGYA00038070,410658,,,,,,,,,,454 GS FLX Titanium,,
20,SRS346929,archaeal sequences obtained from the O plot in August,MGYA00038069,410658,,,,,,,,,,454 GS FLX Titanium,,
21,SRS346930,archaeal sequences obtained from the APK plot in August,MGYA00038068,410658,,,,,,,,,,454 GS FLX Titanium,,
22,SRS346931,archaeal sequences obtained from the CAPK plot in August,MGYA00038075,410658,,,,,,,,,,454 GS FLX Titanium,,
23,SRS346932,archaeal sequences obtained from the LAPK plot in August,MGYA00038074,410658,,,,,,,,,,454 GS FLX Titanium,,
24,SRS346933,archaeal sequences obtained from the WAPK plot in August,MGYA00038073,410658,,,,,,,,,,454 GS FLX Titanium,,
25,SRS346934,archaeal sequences obtained from the CLWAPK plot in August,MGYA00038072,410658,,,,,,,,,,454 GS FLX Titanium,,
