,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),"geographic location (country and/or sea,region)",environment (biome),environment (feature),environment (material),environmental package,elevation,geographic location (latitude),instrument model,ENA checklist,last update date,host,host scientific name
0,ERS1300624,control sample 1BLANK,MGYA00261636,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
1,ERS1300625,control sample 2BLANK,MGYA00261637,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
2,ERS1300626,control sample 3BLANK,MGYA00261638,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
3,ERS1300627,control sample 4BLANK,MGYA00261639,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
4,ERS1300628,control sample 5BLANK,MGYA00261640,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
5,ERS1300629,control sample 6BLANK,MGYA00261641,-105.27,GAZ:United States of America;USA:CO:Boulder,urban biome,research facility,sterile water,misc environment,1624.0,40.015,Illumina HiSeq 2000,ERC000011,2016-08-19,control,metagenome
6,ERS1300630,Bulk soil unknown MS00001,MGYA00261642,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
7,ERS1300631,Bulk soil unknown MS00002,MGYA00261643,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
8,ERS1300632,Bulk soil unknown MS00003,MGYA00261644,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
9,ERS1300633,Bulk soil unknown MS00004,MGYA00261645,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
10,ERS1300634,Bulk soil unknown MS00005,MGYA00261646,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
11,ERS1300635,Bulk soil unknown MS00006,MGYA00261647,138.937,GAZ:Japan;Japan,cropland biome,alluvial paddy field soil,soil,soil,60.0,35.117,Illumina HiSeq 2000,ERC000011,2016-08-19,bulk soil,soil metagenome
